所属模块,用例标题,前置条件,步骤,预期,关键词,优先级,用例类型,适用阶段,,类型可选值列表,阶段可选值列表
/企业客户(#8),新增企业_所属行业为空,1.使用管理员账户登录成功，进入企业客户界面,"1.点击“新增企业”按钮
2.输入：
企业名称:上海纸飞机穿越黑洞梦想无限公司
所属行业:
企业地址:上海黄浦江底三千米
联系人:王德发
联系电话:12345678910
邮箱:123456789@163.com
QQ:123456789
3.点击“添加”按钮","1.提示：*所属行业不能为空
2.弹框提示：企业名称、地址、联系人、行业、电话不能为空",,2,功能测试,,,,
/企业客户(#8),新增企业_所属行业为中文,1.使用管理员账户登录成功，进入企业客户界面,"1.点击“新增企业”按钮
2.输入：
企业名称:上海纸飞机穿越黑洞梦想无限公司
所属行业:科技
企业地址:上海黄浦江底三千米
联系人:王德发
联系电话:12345678910
邮箱:123456789@163.com
QQ:123456789
3.点击“添加”按钮",1.新增成功,,2,功能测试,,,,
/企业客户(#8),新增企业_所属行业为英文,1.使用管理员账户登录成功，进入企业客户界面,"1.点击“新增企业”按钮
2.输入：
企业名称:上海纸飞机穿越黑洞梦想无限公司
所属行业:Science
企业地址:上海黄浦江底三千米
联系人:王德发
联系电话:12345678910
邮箱:123456789@163.com
QQ:123456789
3.点击“添加”按钮",1.新增成功,,2,功能测试,,,,
/企业客户(#8),新增企业_所属行业为特殊字符,1.使用管理员账户登录成功，进入企业客户界面,"1.点击“新增企业”按钮
2.输入：
企业名称:上海纸飞机穿越黑洞梦想无限公司
所属行业:@@@
企业地址:上海黄浦江底三千米
联系人:王德发
联系电话:12345678910
邮箱:123456789@163.com
QQ:123456789
3.点击“添加”按钮","1.提示：*所属行业只能为2-20位的字母或汉字
2.弹框提示:输入格式错误，请重新添加",,2,功能测试,,,,
/企业客户(#8),新增企业_所属行业为数字,1.使用管理员账户登录成功，进入企业客户界面,"1.点击“新增企业”按钮
2.输入：
企业名称:上海纸飞机穿越黑洞梦想无限公司
所属行业:123
企业地址:上海黄浦江底三千米
联系人:王德发
联系电话:12345678910
邮箱:123456789@163.com
QQ:123456789
3.点击“添加”按钮","1.提示：*所属行业只能为2-20位的字母或汉字
2.弹框提示:输入格式错误，请重新添加",,2,功能测试,,,,
/企业客户(#8),新增企业_所属行业长度过短（2-20）,1.使用管理员账户登录成功，进入企业客户界面,"1.点击“新增企业”按钮
2.输入：
企业名称:上海纸飞机穿越黑洞梦想无限公司
所属行业:A
企业地址:上海黄浦江底三千米
联系人:王德发
联系电话:12345678910
邮箱:123456789@163.com
QQ:123456789
3.点击“添加”按钮","1.提示：*所属行业只能为2-20位的字母或汉字
2.弹框提示:输入格式错误，请重新添加",,2,功能测试,,,,
/企业客户(#8),新增企业_所属行业长度过长（2-20）,1.使用管理员账户登录成功，进入企业客户界面,"1.点击“新增企业”按钮
2.输入：
企业名称:上海纸飞机穿越黑洞梦想无限公司
所属行业:A（x21）
企业地址:上海黄浦江底三千米
联系人:王德发
联系电话:12345678910
邮箱:123456789@163.com
QQ:123456789
3.点击“添加”按钮","1.提示：*所属行业只能为2-20位的字母或汉字
2.弹框提示:输入格式错误，请重新添加",,2,功能测试,,,,
/企业客户(#8),新增企业_企业地址输入为空,1.使用管理员账户登录成功，进入企业客户界面,"1.点击“新增企业”按钮
2.输入：
企业名称:上海纸飞机穿越黑洞梦想无限公司
所属行业:科技
企业地址:
联系人:王德发
联系电话:12345678910
邮箱:123456789@163.com
QQ:123456789
3.点击“添加”按钮","1.提示：*企业地址不能为空
2.弹框提示：企业名称、地址、联系人、行业、电话不能为空",,2,功能测试,,,,
/企业客户(#8),新增企业_企业地址输入为中文,1.使用管理员账户登录成功，进入企业客户界面,"1.点击“新增企业”按钮
2.输入：
企业名称:上海纸飞机穿越黑洞梦想无限公司
所属行业:科技
企业地址:上海黄浦江底三千米
联系人:王德发
联系电话:12345678910
邮箱:123456789@163.com
QQ:123456789
3.点击“添加”按钮",1.新增成功,,2,功能测试,,,,
/企业客户(#8),新增企业_企业地址输入为英文,1.使用管理员账户登录成功，进入企业客户界面,"1.点击“新增企业”按钮
2.输入：
企业名称:上海纸飞机穿越黑洞梦想无限公司
所属行业:科技
企业地址:shanghai
联系人:王德发
联系电话:12345678910
邮箱:123456789@163.com
QQ:123456789
3.点击“添加”按钮",1.新增成功,,2,功能测试,,,,
/企业客户(#8),新增企业_企业地址输入为数字,1.使用管理员账户登录成功，进入企业客户界面,"1.点击“新增企业”按钮
2.输入：
企业名称:上海纸飞机穿越黑洞梦想无限公司
所属行业:科技
企业地址:11111
联系人:王德发
联系电话:12345678910
邮箱:123456789@163.com
QQ:123456789
3.点击“添加”按钮",1.新增成功,,2,功能测试,,,,
/企业客户(#8),新增企业_企业地址输入为特殊字符,1.使用管理员账户登录成功，进入企业客户界面,"1.点击“新增企业”按钮
2.输入：
企业名称:上海纸飞机穿越黑洞梦想无限公司
所属行业:科技
企业地址:@@@@@
联系人:王德发
联系电话:12345678910
邮箱:123456789@163.com
QQ:123456789
3.点击“添加”按钮","1.提示：*企业地址只能为数字、字母或汉字
2.弹框提示:输入格式错误，请重新添加",,2,功能测试,,,,
/企业客户(#8),新增企业_联系人输入为空,1.使用管理员账户登录成功，进入企业客户界面,"1.点击“新增企业”按钮
2.输入：
企业名称:上海纸飞机穿越黑洞梦想无限公司
所属行业:科技
企业地址:上海黄浦江底三千米
联系人:
联系电话:12345678910
邮箱:123456789@163.com
QQ:123456789
3.点击“添加”按钮","1.提示：*联系人不能为空
2.弹框提示：企业名称、地址、联系人、行业、电话不能为空",,2,功能测试,,,,
/企业客户(#8),新增企业_联系人输入为中文,1.使用管理员账户登录成功，进入企业客户界面,"1.点击“新增企业”按钮
2.输入：
企业名称:上海纸飞机穿越黑洞梦想无限公司
所属行业:科技
企业地址:上海黄浦江底三千米
联系人:王德发
联系电话:12345678910
邮箱:123456789@163.com
QQ:123456789
3.点击“添加”按钮",3.新增成功,,2,功能测试,,,,
/企业客户(#8),新增企业_联系人输入为英文,1.使用管理员账户登录成功，进入企业客户界面,"1.点击“新增企业”按钮
2.输入：
企业名称:上海纸飞机穿越黑洞梦想无限公司
所属行业:科技
企业地址:上海黄浦江底三千米
联系人:Tom
联系电话:12345678910
邮箱:123456789@163.com
QQ:123456789
3.点击“添加”按钮",1.新增成功,,2,功能测试,,,,
/企业客户(#8),新增企业_联系人输入为数字,1.使用管理员账户登录成功，进入企业客户界面,"1.点击“新增企业”按钮
2.输入：
企业名称:上海纸飞机穿越黑洞梦想无限公司
所属行业:科技
企业地址:上海黄浦江底三千米
联系人:123
联系电话:12345678910
邮箱:123456789@163.com
QQ:123456789
3.点击“添加”按钮","1.提示：*联系人只能为3-20位字母加汉字
2.弹框提示:输入格式错误，请重新添加",,2,功能测试,,,,
/企业客户(#8),新增企业_联系人输入为特殊字符,1.使用管理员账户登录成功，进入企业客户界面,"1.点击“新增企业”按钮
2.输入：
企业名称:上海纸飞机穿越黑洞梦想无限公司
所属行业:科技
企业地址:上海黄浦江底三千米
联系人:@@@
联系电话:12345678910
邮箱:123456789@163.com
QQ:123456789
3.点击“添加”按钮","1.提示：*联系人只能为3-20位字母加汉字
2.弹框提示:输入格式错误，请重新添加",,2,功能测试,,,,
/企业客户(#8),新增企业_联系人输入长度过短（3-20）,1.使用管理员账户登录成功，进入企业客户界面,"1.点击“新增企业”按钮
2.输入：
企业名称:上海纸飞机穿越黑洞梦想无限公司
所属行业:科技
企业地址:上海黄浦江底三千米
联系人:ab
联系电话:12345678910
邮箱:123456789@163.com
QQ:123456789
3.点击“添加”按钮","1.提示：*联系人只能为3-20位字母加汉字
2.弹框提示:输入格式错误，请重新添加",,2,功能测试,,,,
/企业客户(#8),新增企业_联系人输入长度过长（3-20）,1.使用管理员账户登录成功，进入企业客户界面,"1.点击“新增企业”按钮
2.输入：
企业名称:上海纸飞机穿越黑洞梦想无限公司
所属行业:科技
企业地址:上海黄浦江底三千米
联系人:a(x21)
联系电话:12345678910
邮箱:123456789@163.com
QQ:123456789
3.点击“添加”按钮","1.提示：*联系人只能为3-20位字母加汉字
2.弹框提示:输入格式错误，请重新添加",,2,功能测试,,,,
/企业客户(#8),新增企业_联系人电话为空,1.使用管理员账户登录成功，进入企业客户界面,"1.点击“新增企业”按钮
2.输入：
企业名称:上海纸飞机穿越黑洞梦想无限公司
所属行业:科技
企业地址:上海黄浦江底三千米
联系人:王德发
联系电话:
邮箱:123456789@163.com
QQ:123456789
3.点击“添加”按钮","1.提示：*联系电话不能为空
2.弹框提示：企业名称、地址、联系人、行业、电话不能为空",,2,功能测试,,,,
/企业客户(#8),新增企业_联系人电话为数字,1.使用管理员账户登录成功，进入企业客户界面,"1.点击“新增企业”按钮
2.输入：
企业名称:上海纸飞机穿越黑洞梦想无限公司
所属行业:科技
企业地址:上海黄浦江底三千米
联系人:王德发
联系电话:1234567890
邮箱:123456789@163.com
QQ:123456789
3.点击“添加”按钮",1.新增成功,,2,功能测试,,,,
/企业客户(#8),新增企业_联系人电话为中文,1.使用管理员账户登录成功，进入企业客户界面,"1.点击“新增企业”按钮
2.输入：
企业名称:上海纸飞机穿越黑洞梦想无限公司
所属行业:科技
企业地址:上海黄浦江底三千米
联系人:王德发
联系电话:我
邮箱:123456789@163.com
QQ:123456789
3.点击“添加”按钮","1.提示：*联系电话只能为数字
2.弹框提示:输入格式错误，请重新添加",,2,功能测试,,,,
/企业客户(#8),新增企业_联系人电话为英文,1.使用管理员账户登录成功，进入企业客户界面,"1.点击“新增企业”按钮
2.输入：
企业名称:上海纸飞机穿越黑洞梦想无限公司
所属行业:科技
企业地址:上海黄浦江底三千米
联系人:王德发
联系电话:phone
邮箱:123456789@163.com
QQ:123456789
3.点击“添加”按钮","1.提示：*联系电话只能为数字
2.弹框提示:输入格式错误，请重新添加",,2,功能测试,,,,
/企业客户(#8),新增企业_联系人电话为特殊字符,1.使用管理员账户登录成功，进入企业客户界面,"1.点击“新增企业”按钮
2.输入：
企业名称:上海纸飞机穿越黑洞梦想无限公司
所属行业:科技
企业地址:上海黄浦江底三千米
联系人:@@@
联系电话:1234567890
邮箱:123456789@163.com
QQ:123456789
3.点击“添加”按钮","1.提示：*联系电话只能为数字
2.弹框提示:输入格式错误，请重新添加",,2,功能测试,,,,
/企业客户(#8),新增企业_邮箱格式输入正确,1.使用管理员账户登录成功，进入企业客户界面,"1.点击“新增企业”按钮
2.输入：
企业名称:上海纸飞机穿越黑洞梦想无限公司
所属行业:科技
企业地址:上海黄浦江底三千米
联系人:12345678910
联系电话:1234567890
邮箱:123456789@163.com
QQ:123456789
3.点击“添加”按钮",1.新增成功,,2,功能测试,,,,
/企业客户(#8),新增企业_邮箱格式输入错误,1.使用管理员账户登录成功，进入企业客户界面,"1.点击“新增企业”按钮
2.输入：
企业名称:上海纸飞机穿越黑洞梦想无限公司
所属行业:科技
企业地址:上海黄浦江底三千米
联系人:12345678910
联系电话:1234567890
邮箱:123456789
QQ:123456789
3.点击“添加”按钮","1.提示：*请输入正确的邮箱
2.弹框提示:输入格式错误，请重新添加",,2,功能测试,,,,
/企业客户(#8),新增企业_QQ输入为中文,1.使用管理员账户登录成功，进入企业客户界面,"1.点击“新增企业”按钮
2.输入：
企业名称:上海纸飞机穿越黑洞梦想无限公司
所属行业:科技
企业地址:上海黄浦江底三千米
联系人:12345678910
联系电话:1234567890
邮箱:123456789
QQ:我
3.点击“添加”按钮","1.提示：*QQ只能为5-11位的数字
2.弹框提示:输入格式错误，请重新添加",,2,功能测试,,,,
/企业客户(#8),新增企业_QQ输入为英文,1.使用管理员账户登录成功，进入企业客户界面,"1.点击“新增企业”按钮
2.输入：
企业名称:上海纸飞机穿越黑洞梦想无限公司
所属行业:科技
企业地址:上海黄浦江底三千米
联系人:12345678910
联系电话:1234567890
邮箱:123456789
QQ:qq
3.点击“添加”按钮","1.提示：*QQ只能为5-11位的数字
2.弹框提示:输入格式错误，请重新添加",,2,功能测试,,,,
/企业客户(#8),新增企业_QQ输入为特殊字符,1.使用管理员账户登录成功，进入企业客户界面,"1.点击“新增企业”按钮
2.输入：
企业名称:上海纸飞机穿越黑洞梦想无限公司
所属行业:科技
企业地址:上海黄浦江底三千米
联系人:12345678910
联系电话:1234567890
邮箱:123456789
QQ:@@@
3.点击“添加”按钮","1.提示：*QQ只能为5-11位的数字
2.弹框提示:输入格式错误，请重新添加",,2,功能测试,,,,
/企业客户(#8),新增企业_QQ输入为数字 ,1.使用管理员账户登录成功，进入企业客户界面,"1.点击“新增企业”按钮
2.输入：
企业名称:上海纸飞机穿越黑洞梦想无限公司
所属行业:科技
企业地址:上海黄浦江底三千米
联系人:12345678910
联系电话:1234567890
邮箱:123456789
QQ:123456789
3.点击“添加”按钮",1.新增成功,,2,功能测试,,,,
/企业客户(#8),新增企业_QQ输入长度过短（5-11）,1.使用管理员账户登录成功，进入企业客户界面,"1.点击“新增企业”按钮
2.输入：
企业名称:上海纸飞机穿越黑洞梦想无限公司
所属行业:科技
企业地址:上海黄浦江底三千米
联系人:12345678910
联系电话:1234567890
邮箱:123456789
QQ:1234
3.点击“添加”按钮","1.提示：*QQ只能为5-11位的数字
2.弹框提示:输入格式错误，请重新添加",,2,功能测试,,,,
/企业客户(#8),新增企业_QQ输入长度过长（5-11）,1.使用管理员账户登录成功，进入企业客户界面,"1.点击“新增企业”按钮
2.输入：
企业名称:上海纸飞机穿越黑洞梦想无限公司
所属行业:科技
企业地址:上海黄浦江底三千米
联系人:12345678910
联系电话:1234567890
邮箱:123456789
QQ:1234567890000000
3.点击“添加”按钮","1.提示：*QQ只能为5-11位的数字
2.弹框提示:输入格式错误，请重新添加",,2,功能测试,,,,
/企业客户(#8),查询企业_通过企业名搜索,1.使用管理员账户登录成功，进入企业客户界面,"1.点击企业名称输入框输入：飞虎乐购
2.查看页面显示信息",1.页面显示企业名称为“飞虎乐购”公司的全部信息,,2,功能测试,,,,
/企业客户(#8),查询企业_通过企业名模糊搜索,1.使用管理员账户登录成功，进入企业客户界面,"1.点击企业名称输入框输入：飞
2.查看页面显示信息",1.页面显示企业名称含“飞”的公司的全部信息,,2,功能测试,,,,
/企业客户(#8),查询企业_查询结果条数显示,1.使用管理员账户登录成功，进入企业客户界面,1.查看页面显示信息,1.底部显示当前页是哪几条记录和记录总条数,,2,功能测试,,,,
/企业客户(#8),查询企业_查询结果翻页功能_上一页,1.使用管理员账户登录成功，进入企业客户界面,"1.点击“上一页”按钮
2.查看页面信息",1.页面显示上一页的信息,,2,功能测试,,,,
/企业客户(#8),查询企业_查询结果翻页功能_首页的上一页,1.使用管理员账户登录成功，进入企业客户界面,"1.进入第1页页面
2.点击“上一页”按钮
3.查看页面信息","1.上一页按钮无反应
2.页面内容无改变",,2,功能测试,,,,
/企业客户(#8),查询企业_查询结果翻页功能_下一页,1.使用管理员账户登录成功，进入企业客户界面,"1.点击“下一页”按钮
2.查看页面信息",1.页面显示下一页的信息,,2,功能测试,,,,
/企业客户(#8),查询企业_查询结果翻页功能_末页的下一页,1.使用管理员账户登录成功，进入企业客户界面,"1.进入最后一页页面
2.点击“下一页”按钮
3.查看页面信息","1.下一页按钮无反应
2.页面内容无改变",,2,功能测试,,,,
/企业客户(#8),查询企业_查询结果翻页功能_按数字翻页,1.使用管理员账户登录成功，进入企业客户界面,"1.点击翻页数字2按钮
2.查看页面信息",1.页面显示第2页信息,,2,功能测试,,,,
/企业客户(#8),修改企业_有修改权限,"1.使用无新增权限账户登录成功
如：wncd123","1.进入企业客户界面
2.点击“修改”按钮
3.输入有效数据
4.点击“保存”按钮",1. 弹框提示：您没有该权限,,2,功能测试,,,,
/企业客户(#8),修改企业_无修改权限,"1.使用有新增权限账户登录成功
如：wncd000 管理员","1.进入企业客户界面
2.点击“修改”按钮
3.输入有效数据
4.点击“保存”按钮","1. 进入修改企业信息界面
2. 修改成功",,2,功能测试,,,,
/企业客户(#8),修改企业_修改企业名称为空,1.使用管理员账户登录成功，进入企业客户界面,"1.点击“修改”按钮
2.输入：
企业名称:
所属行业:科技
企业地址:上海黄浦江底三千米
联系人:王德发
联系电话:12345678910
邮箱:123456789@163.com
QQ:123456789
2.点击“保存”按钮","1.提示：*公司名称不能为空
2.弹框提示：企业名称、地址、联系人、行业、电话不能为空",,2,功能测试,,,,
/企业客户(#8),修改企业_企业名称为中文,1.使用管理员账户登录成功，进入企业客户界面,"1.点击“修改”按钮
2.输入：
企业名称:上海纸飞机穿越黑洞梦想无限公司
所属行业:科技
企业地址:上海黄浦江底三千米
联系人:王德发
联系电话:12345678910
邮箱:123456789@163.com
QQ:123456789
2.点击“保存”按钮",1.修改成功,,2,功能测试,,,,
/企业客户(#8),修改企业_企业名称为英文,1.使用管理员账户登录成功，进入企业客户界面,"1.点击“修改企业”按钮
2.输入：
企业名称:sorry
所属行业:科技
企业地址:上海黄浦江底三千米
联系人:王德发
联系电话:12345678910
邮箱:123456789@163.com
QQ:123456789
2.点击“保存”按钮",1.修改成功,,2,功能测试,,,,
/企业客户(#8),修改企业_企业名称为数字,1.使用管理员账户登录成功，进入企业客户界面,"1.点击“修改企业”按钮
2.输入：
企业名称:11111
所属行业:科技
企业地址:上海黄浦江底三千米
联系人:王德发
联系电话:12345678910
邮箱:123456789@163.com
QQ:123456789
3.点击“保存”按钮","1.提示：*企业名称只能为4-20位的字母或汉字
2.弹框提示:输入格式错误，请重新输入",,2,功能测试,,,,
/企业客户(#8),修改企业_企业名称为特殊字符,1.使用管理员账户登录成功，进入企业客户界面,"1.点击“修改企业”按钮
2.输入：
企业名称:@@@@@
所属行业:科技
企业地址:上海黄浦江底三千米
联系人:王德发
联系电话:12345678910
邮箱:123456789@163.com
QQ:123456789
3.点击“保存”按钮","1.提示：*企业名称只能为4-20位的字母或汉字
2.弹框提示:输入格式错误，请重新输入",,2,功能测试,,,,
/企业客户(#8),修改企业_企业名称长度过低（长度为4-20）,1.使用管理员账户登录成功，进入企业客户界面,"1.点击“修改企业”按钮
2.输入：
企业名称:我
所属行业:科技
企业地址:上海黄浦江底三千米
联系人:王德发
联系电话:12345678910
邮箱:123456789@163.com
QQ:123456789
3.点击“保存”按钮","1.提示：*企业名称只能为4-20位的字母或汉字
2.弹框提示:输入格式错误，请重新输入",,2,功能测试,,,,
/企业客户(#8),修改企业_企业名称长度过长（长度为4-20）,1.使用管理员账户登录成功，进入企业客户界面,"1.点击“修改企业”按钮
2.输入：
企业名称:我（x21）
所属行业:科技
企业地址:上海黄浦江底三千米
联系人:王德发
联系电话:12345678910
邮箱:123456789@163.com
QQ:123456789
3.点击“保存”按钮","1.提示：*企业名称只能为4-20位的字母或汉字
2.弹框提示:输入格式错误，请重新输入",,2,功能测试,,,,
/企业客户(#8),修改企业_所属行业为空,1.使用管理员账户登录成功，进入企业客户界面,"1.点击“修改企业”按钮
2.输入：
企业名称:上海纸飞机穿越黑洞梦想无限公司
所属行业:
企业地址:上海黄浦江底三千米
联系人:王德发
联系电话:12345678910
邮箱:123456789@163.com
QQ:123456789
3.点击“保存”按钮","1.提示：*所属行业不能为空
2.弹框提示：企业名称、地址、联系人、行业、电话不能为空",,2,功能测试,,,,
/企业客户(#8),修改企业_所属行业为中文,1.使用管理员账户登录成功，进入企业客户界面,"1.点击“修改企业”按钮
2.输入：
企业名称:上海纸飞机穿越黑洞梦想无限公司
所属行业:科技
企业地址:上海黄浦江底三千米
联系人:王德发
联系电话:12345678910
邮箱:123456789@163.com
QQ:123456789
3.点击“保存”按钮",1.修改成功,,2,功能测试,,,,
/企业客户(#8),修改企业_所属行业为英文,1.使用管理员账户登录成功，进入企业客户界面,"1.点击“修改企业”按钮
2.输入：
企业名称:上海纸飞机穿越黑洞梦想无限公司
所属行业:Science
企业地址:上海黄浦江底三千米
联系人:王德发
联系电话:12345678910
邮箱:123456789@163.com
QQ:123456789
3.点击“保存”按钮",1.修改成功,,2,功能测试,,,,
/企业客户(#8),修改企业_所属行业为特殊字符,1.使用管理员账户登录成功，进入企业客户界面,"1.点击“修改企业”按钮
2.输入：
企业名称:上海纸飞机穿越黑洞梦想无限公司
所属行业:@@@
企业地址:上海黄浦江底三千米
联系人:王德发
联系电话:12345678910
邮箱:123456789@163.com
QQ:123456789
3.点击“保存”按钮","1.提示：*所属行业只能为2-20位的字母或汉字
2.弹框提示:输入格式错误，请重新输入",,2,功能测试,,,,
/企业客户(#8),修改企业_所属行业为数字,1.使用管理员账户登录成功，进入企业客户界面,"1.点击“修改企业”按钮
2.输入：
企业名称:上海纸飞机穿越黑洞梦想无限公司
所属行业:123
企业地址:上海黄浦江底三千米
联系人:王德发
联系电话:12345678910
邮箱:123456789@163.com
QQ:123456789
3.点击“保存”按钮","1.提示：*所属行业只能为2-20位的字母或汉字
2.弹框提示:输入格式错误，请重新输入",,2,功能测试,,,,
/企业客户(#8),修改企业_所属行业长度过短（2-20）,1.使用管理员账户登录成功，进入企业客户界面,"1.点击“修改企业”按钮
2.输入：
企业名称:上海纸飞机穿越黑洞梦想无限公司
所属行业:A
企业地址:上海黄浦江底三千米
联系人:王德发
联系电话:12345678910
邮箱:123456789@163.com
QQ:123456789
3.点击“保存”按钮","1.提示：*所属行业只能为2-20位的字母或汉字
2.弹框提示:输入格式错误，请重新输入",,2,功能测试,,,,
/企业客户(#8),修改企业_所属行业长度过长（2-20）,1.使用管理员账户登录成功，进入企业客户界面,"1.点击“修改企业”按钮
2.输入：
企业名称:上海纸飞机穿越黑洞梦想无限公司
所属行业:A（x21）
企业地址:上海黄浦江底三千米
联系人:王德发
联系电话:12345678910
邮箱:123456789@163.com
QQ:123456789
3.点击“保存”按钮","1.提示：*所属行业只能为2-20位的字母或汉字
2.弹框提示:输入格式错误，请重新输入",,2,功能测试,,,,
/企业客户(#8),修改企业_企业地址输入为空,1.使用管理员账户登录成功，进入企业客户界面,"1.点击“修改企业”按钮
2.输入：
企业名称:上海纸飞机穿越黑洞梦想无限公司
所属行业:科技
企业地址:
联系人:王德发
联系电话:12345678910
邮箱:123456789@163.com
QQ:123456789
3.点击“保存”按钮","1.提示：*企业地址不能为空
2.弹框提示：企业名称、地址、联系人、行业、电话不能为空",,2,功能测试,,,,
/企业客户(#8),修改企业_企业地址输入为中文,1.使用管理员账户登录成功，进入企业客户界面,"1.点击“修改企业”按钮
2.输入：
企业名称:上海纸飞机穿越黑洞梦想无限公司
所属行业:科技
企业地址:上海黄浦江底三千米
联系人:王德发
联系电话:12345678910
邮箱:123456789@163.com
QQ:123456789
3.点击“保存”按钮",1.修改成功,,2,功能测试,,,,
/企业客户(#8),修改企业_企业地址输入为英文,1.使用管理员账户登录成功，进入企业客户界面,"1.点击“修改企业”按钮
2.输入：
企业名称:上海纸飞机穿越黑洞梦想无限公司
所属行业:科技
企业地址:shanghai
联系人:王德发
联系电话:12345678910
邮箱:123456789@163.com
QQ:123456789
3.点击“保存”按钮",1.修改成功,,2,功能测试,,,,
/企业客户(#8),修改企业_企业地址输入为数字,1.使用管理员账户登录成功，进入企业客户界面,"1.点击“修改企业”按钮
2.输入：
企业名称:上海纸飞机穿越黑洞梦想无限公司
所属行业:科技
企业地址:11111
联系人:王德发
联系电话:12345678910
邮箱:123456789@163.com
QQ:123456789
3.点击“保存”按钮",1.修改成功,,2,功能测试,,,,
/企业客户(#8),修改企业_企业地址输入为特殊字符,1.使用管理员账户登录成功，进入企业客户界面,"1.点击“修改企业”按钮
2.输入：
企业名称:上海纸飞机穿越黑洞梦想无限公司
所属行业:科技
企业地址:@@@@@
联系人:王德发
联系电话:12345678910
邮箱:123456789@163.com
QQ:123456789
3.点击“保存”按钮","1.提示：*企业地址只能为数字、字母或汉字
2.弹框提示:输入格式错误，请重新输入",,2,功能测试,,,,
/企业客户(#8),修改企业_联系人输入为空,1.使用管理员账户登录成功，进入企业客户界面,"1.点击“修改企业”按钮
2.输入：
企业名称:上海纸飞机穿越黑洞梦想无限公司
所属行业:科技
企业地址:上海黄浦江底三千米
联系人:
联系电话:12345678910
邮箱:123456789@163.com
QQ:123456789
3.点击“保存”按钮","1.提示：*联系人不能为空
2.弹框提示：企业名称、地址、联系人、行业、电话不能为空",,2,功能测试,,,,
